name,url,group,country,language,quality,category,tags
Globoplay Novelas,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7152,Entertainment,Brazil,Portuguese,,Entertainment,telenovela
BIS,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7162,Music,Brazil,Portuguese,,Music,music
Arte1,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60674,Culture,Brazil,Portuguese,,Culture,"arts,culture"
BAND News,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7150,News,Brazil,Portuguese,,News,news
Nickelodeon (BR),http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7141,Kids,Brazil,Portuguese,,Kids,kids
Nick Jr,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60732,Kids,Brazil,Portuguese,,Kids,kids
Megapix,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/13720,Movies,Brazil,Portuguese,,Movies,movies
Space,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/36122,Entertainment,Brazil,Portuguese,,Entertainment,"series,movies"
Sportv,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/2189,Sports,Brazil,Portuguese,,Sports,sports
Sportv 2,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/22222,Sports,Brazil,Portuguese,,Sports,sports
Sportv 3,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/7153,Sports,Brazil,Portuguese,,Sports,sports
Studio Universal,http://143.244.35.74:8880/IgorRangelXX/IgorRangel3/60684,Movies,Brazil,Portuguese,,Movies,movies
Canal Saude,https://eitv7.cdn.broadpeak.io/account351-i1495/event/canalsaude/format720p.m3u8,Lifestyle,Brazil,Portuguese,,Lifestyle,health
Canal Rural,https://607d2a1a47b1f.streamlock.net/crur/smil:canalrural.smil/playlist.m3u8,Lifestyle,Brazil,Portuguese,,Lifestyle,agriculture
APTN,http://38.143.48.212:9981/stream/channelid/818444930?profile=pass,General,Canada,English,,General,"indigenous,general"
